filename,agn_name,true_type,true_label,ra,dec,predicted_label,predicted_type,prob_NAT,prob_WAT,confidence
agn_cutouts/agn_J1220+5334_WAT_ra185.20925_dec53.575944.fits,J1220+5334,WAT,1,185.20925,53.575944,0,NAT,0.70665723,0.29334274,0.70665723
agn_cutouts/agn_J1459+5334_WAT_ra224.899833_dec53.572167.fits,J1459+5334,WAT,1,224.899833,53.572167,0,NAT,0.81069136,0.18930863,0.81069136
agn_cutouts/agn_J1120+5308_WAT_ra170.170333_dec53.135944.fits,J1120+5308,WAT,1,170.170333,53.135944,0,NAT,0.79968035,0.20031959,0.79968035
agn_cutouts/agn_J1434+4951_WAT_ra218.674792_dec49.852694.fits,J1434+4951,WAT,1,218.674792,49.852694,1,WAT,0.46573353,0.5342664,0.5342664
agn_cutouts/agn_J1147+5548_WAT_ra176.815333_dec55.805389.fits,J1147+5548,WAT,1,176.815333,55.805389,0,NAT,0.74052095,0.25947902,0.74052095
agn_cutouts/agn_J1347+5022_NAT_ra206.754292_dec50.371639.fits,J1347+5022,NAT,0,206.754292,50.371639,0,NAT,0.7684593,0.23154068,0.7684593
agn_cutouts/agn_J1224+4905_WAT_ra186.052042_dec49.097722.fits,J1224+4905,WAT,1,186.052042,49.097722,0,NAT,0.6631513,0.33684868,0.6631513
agn_cutouts/agn_J1523+5255_WAT_ra230.86275_dec52.918722.fits,J1523+5255,WAT,1,230.86275,52.918722,0,NAT,0.7532192,0.24678083,0.7532192
agn_cutouts/agn_J1359+4905_WAT_ra209.935542_dec49.092694.fits,J1359+4905,WAT,1,209.935542,49.092694,0,NAT,0.7717033,0.22829664,0.7717033
agn_cutouts/agn_J1306+5144_WAT_ra196.545083_dec51.739611.fits,J1306+5144,WAT,1,196.545083,51.739611,1,WAT,0.44237828,0.5576217,0.5576217
agn_cutouts/agn_J1132+5459_NAT_ra173.00825_dec54.99775.fits,J1132+5459,NAT,0,173.00825,54.99775,0,NAT,0.74176073,0.25823918,0.74176073
agn_cutouts/agn_J1238+4838_WAT_ra189.74275_dec48.638472.fits,J1238+4838,WAT,1,189.74275,48.638472,0,NAT,0.8252967,0.17470327,0.8252967
agn_cutouts/agn_J1208+5458_WAT_ra182.024708_dec54.968667.fits,J1208+5458,WAT,1,182.024708,54.968667,0,NAT,0.76265574,0.23734428,0.76265574
agn_cutouts/agn_J1431+4743_WAT_ra217.960583_dec47.732528.fits,J1431+4743,WAT,1,217.960583,47.732528,0,NAT,0.7709719,0.22902814,0.7709719
agn_cutouts/agn_J1431+5518_NAT_ra217.818042_dec55.313861.fits,J1431+5518,NAT,0,217.818042,55.313861,0,NAT,0.7470987,0.25290135,0.7470987
agn_cutouts/agn_J1127+5533_WAT_ra171.826667_dec55.558.fits,J1127+5533,WAT,1,171.826667,55.558,0,NAT,0.72744113,0.2725589,0.72744113
agn_cutouts/agn_J1147+4805_NAT_ra176.951792_dec48.097.fits,J1147+4805,NAT,0,176.951792,48.097,0,NAT,0.7426566,0.2573434,0.7426566
agn_cutouts/agn_J1505+4706_NAT_ra226.410292_dec47.106222.fits,J1505+4706,NAT,0,226.410292,47.106222,0,NAT,0.5382277,0.46177235,0.5382277
agn_cutouts/agn_J1121+5421_WAT_ra170.307_dec54.359556.fits,J1121+5421,WAT,1,170.307,54.359556,0,NAT,0.7595305,0.24046952,0.7595305
agn_cutouts/agn_J1057+4749_WAT_ra164.362375_dec47.824278.fits,J1057+4749,WAT,1,164.362375,47.824278,0,NAT,0.7590011,0.24099894,0.7590011
agn_cutouts/agn_J1249+4954_WAT_ra192.413458_dec49.900861.fits,J1249+4954,WAT,1,192.413458,49.900861,0,NAT,0.715016,0.28498396,0.715016
agn_cutouts/agn_J1315+4841_WAT_ra198.882583_dec48.686583.fits,J1315+4841,WAT,1,198.882583,48.686583,1,WAT,0.3912593,0.6087406,0.6087406
agn_cutouts/agn_J1224+5419_WAT_ra186.207875_dec54.326167.fits,J1224+5419,WAT,1,186.207875,54.326167,0,NAT,0.75942385,0.24057618,0.75942385
agn_cutouts/agn_J1510+5146_NAT_ra227.5145_dec51.774472.fits,J1510+5146,NAT,0,227.5145,51.774472,0,NAT,0.7174775,0.2825225,0.7174775
agn_cutouts/agn_J1325+5617_WAT_ra201.26825_dec56.295083.fits,J1325+5617,WAT,1,201.26825,56.295083,0,NAT,0.7348716,0.26512837,0.7348716
agn_cutouts/agn_J1247+4852_WAT_ra191.927208_dec48.868306.fits,J1247+4852,WAT,1,191.927208,48.868306,0,NAT,0.71503526,0.28496468,0.71503526
agn_cutouts/agn_J1329+5246_NAT_ra202.289625_dec52.771083.fits,J1329+5246,NAT,0,202.289625,52.771083,0,NAT,0.76323164,0.23676835,0.76323164
agn_cutouts/agn_J1325+5544_NAT_ra201.45175_dec55.737417.fits,J1325+5544,NAT,0,201.45175,55.737417,0,NAT,0.79948354,0.20051654,0.79948354
agn_cutouts/agn_J1115+4834_WAT_ra168.921625_dec48.572056.fits,J1115+4834,WAT,1,168.921625,48.572056,0,NAT,0.79417557,0.20582439,0.79417557
agn_cutouts/agn_J1426+5547_WAT_ra216.526917_dec55.790694.fits,J1426+5547,WAT,1,216.526917,55.790694,0,NAT,0.77569085,0.22430913,0.77569085
agn_cutouts/agn_J1346+5250_WAT_ra206.528833_dec52.838222.fits,J1346+5250,WAT,1,206.528833,52.838222,0,NAT,0.64909333,0.35090664,0.64909333
agn_cutouts/agn_J1115+4729_WAT_ra168.882_dec47.491583.fits,J1115+4729,WAT,1,168.882,47.491583,0,NAT,0.75832653,0.24167353,0.75832653
agn_cutouts/agn_J1113+4952_WAT_ra168.323333_dec49.866722.fits,J1113+4952,WAT,1,168.323333,49.866722,0,NAT,0.75236315,0.24763687,0.75236315
agn_cutouts/agn_J1236+5525_WAT_ra189.197625_dec55.419611.fits,J1236+5525,WAT,1,189.197625,55.419611,0,NAT,0.787298,0.21270196,0.787298
agn_cutouts/agn_J1101+5603_WAT_ra165.285417_dec56.055722.fits,J1101+5603,WAT,1,165.285417,56.055722,0,NAT,0.74756074,0.2524392,0.74756074
agn_cutouts/agn_J1446+4841_WAT_ra221.528042_dec48.694444.fits,J1446+4841,WAT,1,221.528042,48.694444,0,NAT,0.746809,0.25319102,0.746809
agn_cutouts/agn_J1428+5520_WAT_ra217.17675_dec55.347639.fits,J1428+5520,WAT,1,217.17675,55.347639,0,NAT,0.7552903,0.24470963,0.7552903
agn_cutouts/agn_J1303+4935_WAT_ra195.865417_dec49.599028.fits,J1303+4935,WAT,1,195.865417,49.599028,0,NAT,0.54713166,0.45286837,0.54713166
agn_cutouts/agn_J1330+4730_WAT_ra202.636125_dec47.515444.fits,J1330+4730,WAT,1,202.636125,47.515444,0,NAT,0.791933,0.20806704,0.791933
agn_cutouts/agn_J1114+4611_WAT_ra168.56875_dec46.187528.fits,J1114+4611,WAT,1,168.56875,46.187528,0,NAT,0.77424747,0.22575258,0.77424747
agn_cutouts/agn_J1207+4805_NAT_ra181.831_dec48.099639.fits,J1207+4805,NAT,0,181.831,48.099639,0,NAT,0.79549485,0.20450515,0.79549485
agn_cutouts/agn_J1303+4743_WAT_ra195.952125_dec47.7215.fits,J1303+4743,WAT,1,195.952125,47.7215,0,NAT,0.7856871,0.21431288,0.7856871
agn_cutouts/agn_J1105+4800_WAT_ra166.268625_dec48.012083.fits,J1105+4800,WAT,1,166.268625,48.012083,0,NAT,0.75895756,0.24104245,0.75895756
agn_cutouts/agn_J1439+5631_WAT_ra219.8305_dec56.527611.fits,J1439+5631,WAT,1,219.8305,56.527611,0,NAT,0.76210433,0.23789571,0.76210433
agn_cutouts/agn_J1303+5220_WAT_ra195.885333_dec52.336194.fits,J1303+5220,WAT,1,195.885333,52.336194,0,NAT,0.7304008,0.26959923,0.7304008
agn_cutouts/agn_J1506+5311_NAT_ra226.512917_dec53.185917.fits,J1506+5311,NAT,0,226.512917,53.185917,0,NAT,0.69390005,0.30609992,0.69390005
agn_cutouts/agn_J1112+5151_WAT_ra168.090292_dec51.857694.fits,J1112+5151,WAT,1,168.090292,51.857694,0,NAT,0.7621905,0.23780942,0.7621905
agn_cutouts/agn_J1344+5552_WAT_ra206.18575_dec55.867583.fits,J1344+5552,WAT,1,206.18575,55.867583,0,NAT,0.7659613,0.23403876,0.7659613
